WardLabel,area_km2,pop_census_2011,pop_density,pop_density_imputed
TSH_71,1.6724743417237375,30799,18415.230196151755,False
TSH_72,2.136528314352078,22146,10365.413765516128,False
TSH_73,181.10333380101383,39616,218.7480438296505,False
TSH_74,9.2869295585758,24121,2597.3062299935314,False
TSH_75,11.886732983856334,29389,2472.420305891781,False
TSH_76,28.903594487217806,23616,817.0610063894936,False
TSH_77,19.23445779559901,84536,4395.029009829561,False
TSH_78,8.280439085738122,23186,2800.0930578590437,False
TSH_79,25.17271805780424,28903,1148.1874914592017,False
TSH_80,3.9090247349879683,26803,6856.697467298706,False
TSH_81,1.4250219760349891,12339,8658.813834108223,False
TSH_82,14.31107954181459,20017,1398.706501596449,False
TSH_83,12.66888241708827,12097,954.8592844845657,False
TSH_84,13.126114123407065,26467,2016.3621732347183,False
TSH_85,12.602463893187249,34627,2747.637310726117,False
TSH_86,9.2948335596709,43585,4689.164116839032,False
TSH_87,138.99136243861577,24867,178.9103981981778,False
TSH_88,5.77739610378167,27849,4820.337657265887,False
TSH_89,5.54793928931718,28126,5069.63009745942,False
TSH_90,11.592282337210733,42821,3693.923142515811,False
TSH_91,124.51328252113443,40480,325.1058777052888,False
TSH_92,7.07561762184964,30438,4301.815279843117,False
TSH_93,9.13038057011019,17785,1947.8925181084057,False
TSH_94,5.435605977138408,20613,3792.2174798350225,False
TSH_95,118.7837636765369,24310,204.65760005886983,False
TSH_96,272.44692940594183,30384,111.52263696364989,False
TSH_97,3.728720408743402,21060,5648.050186497445,False
TSH_98,25.376674348843398,25495,1004.6627721792865,False
TSH_99,1193.0371814059488,33412,28.005832945311255,False
TSH_100,431.6082917954603,32621,75.58010497040945,False
TSH_101,117.59438714787365,30369,258.2521218620011,False
TSH_102,725.9571368711077,31709,43.67888734680196,False
TSH_103,55.85310420905319,25844,462.7137625738439,False
TSH_104,23.08757739126233,26095,1130.2615063404553,False
TSH_105,1133.330965468115,26119,23.04622462090032,False
TSH_106,19.36999901015545,27824,1436.4481890480336,True
TSH_107,6.541905707860187,27824,4253.194901077387,True
