incident_id,date,date_confidence,utility,notice_type,title,affected_areas_raw,region_ward,asset_type,source_url,notes
92488,2025-08-26T14:13:11,confirmed,water,planned_maintenance,Planned water supply interruption to affect Hatfield and nearby areas – 25 August 2025,during the period of the interruption,TBD,TBD,https://www.tshwane.gov.za/?p=92488,"Residents in the area of the Loftus bulk water supply line are informed about planned maintenance work which will take place on Thursday, 28 August 2025 . On this day, the team will conduct a CCTV inspection and install valves in preparation for repairs to a leak on a 250 mm pipeline in the area. This work is anticipated to last for eight hours, from 08:00 to 16:00, and it will affect the following areas: Brooklyn Colbyn Hatfield Part of Menlopark Muckleneuk Roaming water tankers will be arrange"
92455,2025-08-26T14:00:07,confirmed,electricity,planned_maintenance,Planned upgrade work to affect power supply in some parts of Soshanguve -23 January 2025,"• Blocks KK, V, T, R, S, SS, X, X buffer, P, W and Y Customers are advised to treat all electricity supply points as live at all times",TBD,TBD,https://www.tshwane.gov.za/?p=92455,"The City of Tshwane’s Energy and Electricity Department will on Wednesday, 29 January 2025, shutdown power supply to the Soshanguve 132/11kV Substation to work on its control systems. The scope of work to be carried out on the day involves testing and commissioning the communication systems between the control centre and the substation. This essential work which will enhance the management, monitoring and control of the electricity network is scheduled to last for seven hours from 09h00 until 16"
92149,2025-08-21T09:59:07,confirmed,electricity,rescheduled,Rescheduled power supply interruption to Kentron 11 kV Substation supply zone-19 August 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=92149,"Customers in the Kentron Substation supply zone in Centurion are informed about the rescheduling of the three-day maintenance work, which was planned to last until Thursday, 21 August 2025. Unfortunately, the dedicated team of technicians from the City of Tshwane Energy and Electricity Business Unit encountered technical challenges while attempting to switch off the supply to the Highveld area, compelling the team to reschedule the work that was planned for today, 19 August 2025. This essential "
91564,2025-08-11T14:06:11,confirmed,electricity,planned_maintenance,Electricity supply interruption in areas supplied by 11 kV Waltloo Substation – 11 August 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=91564,"Tomorrow, Tuesday, 12 August 2025, the City of Tshwane Energy and Electricity Business Unit will switch off parts of the 11 kV Waltloo Substation in order to carry out maintenance and audit this essential facility. The said maintenance work is necessitated by the City’s obligation to ensure a reliable and safe electricity supply. The following areas supplied by Waltloo Substation will experience an hourly rotational electricity supply interruption from 08:00 until 16:00: Leeuwfontein Estate Leeu"
91407,2025-08-11T12:09:15,confirmed,water,planned_maintenance,Temporary water supply interruption due to planned Mabopane Main Reservoir recovery maintenance 8 August 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=91407,"The City of Tshwane is appealing to all residents in Mabopane and surrounding areas for patience and understanding as it undertakes an emergency maintenance intervention at Mabopane Main Reservoir. This critical intervention will commence on Tuesday, 12 August 2025, and is expected to last for approximately 24 hours, concluding in the evening of Wednesday, 13 August 2025. Mabopane Main Reservoir is currently under severe pressure due to extremely high water consumption. Despite sufficient bulk s"
91372,2025-08-07T10:14:08,confirmed,electricity,planned_maintenance,Urgent electricity network maintenance to affect Pretoria CBD and Prince’s Park supply areas – 6 August 2025,"Asiatic Bazaar Pretoria CBD Pretoria Townlands Salvokop West Park Customers are urged to always treat all network points as live, including during electricity supply interruption periods",TBD,TBD,https://www.tshwane.gov.za/?p=91372,"The City of Tshwane Energy and Electricity Business Unit would like to inform its customers in the Pretoria CBD and Prince’s Park supply areas about a scheduled power supply interruption tomorrow, Thursday, 7 August 2025, from 10:00. This inevitable power supply interruption is necessitated by the need to conduct emergency electricity network maintenance and testing at the 132/11 kV Prince’s Park Substation. The following areas will be affected: Asiatic Bazaar Pretoria CBD Pretoria Townlands Sal"
90329,2025-07-23T11:16:39,confirmed,electricity,planned_maintenance,Power supply interruption to affect customers in the Wapadrand and Mooikloof Substations supply grid 22 July 2025,by the shutdown: Boardwalk Bronberg Equestria Faerie Glen Garsfontein Lombardy Mooikloof Mooikloof Ridge Moreletapark Olympus Pretoriuspark Shere Line Silver Lakes Wapadrand Woodhill ZW Line The City of Tshwane apologises for any inconvenience that may arise as a result of this inevitable work,TBD,TBD,https://www.tshwane.gov.za/?p=90329,"Customers in the Wapadrand and Mooikloof Substations supply grid are informed about a planned power interruption on Sunday, 27 July 2025. This shutdown is planned for five hours, from 09:00 to 14:00. During this period, the City’s team of technicians will connect and energise the newly constructed line to the old transmission line. This shutdown forms part of the 300 MVA Waltloo-Njala transmission project, which aims to strengthen and stabilise electricity supply to the eastern grid of Tshwane, "
89869,2025-07-13T18:42:35,confirmed,water,planned_maintenance,Rand Water’s planned maintenance on its O2 pipeline to affect Tshwane reservoirs and meters 9 July 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=89869,"The City of Tshwane has once again been notified by Rand Water about planned three-day maintenance work on its O2 pipeline from Tuesday, 15 July 2025, at 05:00 until Friday, 18 July 2025, at 08:00. According to the water utility, the work involves permanent repairs to the leaks on the O2 pipeline which were previously temporarily repaired by its team of technicians. The maintenance work is also part of Rand Water’s preparation for the higher demand period starting from August 2025. This essentia"
89850,2025-07-13T18:28:35,confirmed,water,planned_maintenance,"Planned water supply interruption to affect Lynnwood Ridge, La Montagne and Equestria",,TBD,TBD,https://www.tshwane.gov.za/?p=89850,"On Monday, 14 July 2025, the City’s team of technicians will replace a valve and carry out pipe fittings on a water supply system in Lynnwood Ridge. The said work is planned for eight hours from 08:00 until 16:00 and only Lynnwood Ridge will experience a water supply interruption. Meanwhile, the installation of a pressure-reducing valve and pipe fittings will be undertaken in Die Wilgers on Tuesday, 15 July 2025. For this installation work, it is anticipated that the water supply to La Montagne "
89694,2025-07-08T14:53:41,confirmed,water,planned_maintenance,Planned water supply interruption in Equestria and Murrayfield 8 July 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=89694,"Tomorrow, 9 July 2025, the City of Tshwane will replace a valve and carry out pipe fittings in Equestria. This essential work will take eight hours to complete from 08:00 until 16:00 and will result in a water supply interruption in Equestria. Meanwhile, the City of Tshwane will also replace a valve and carry out pipe fittings in Murrayfield on Thursday, 10 July 2025. The work is anticipated to last for eight hours from 08:00 until 16:00 and the water supply will be interrupted in Murrayfield. T"
89620,2025-07-02T09:25:16,confirmed,water,planned_maintenance,Planned repairs to affect Cornwall Hill Reservoir 1 July 2025,Cornwall Hill Doornkloof 391-JR The City apologises for the inconvenience which may be caused as a result of the above-mentioned repair work,TBD,TBD,https://www.tshwane.gov.za/?p=89620,"On Tuesday, 8 July 2025 , the City of Tshwane Water and Sanitation Department will carry out repairs to a leak on the supply pipe to Cornwall Hill Reservoir. Unfortunately, the work in question will lead to a water supply interruption for a period of six hours, from 07:00 to 13:00. The following areas will be affected: Cornwall Hill Doornkloof 391-JR The City apologises for the inconvenience which may be caused as a result of the above-mentioned repair work. We appeal to all residents to conserv"
89464,2025-06-27T12:53:54,confirmed,water,water_quality_failure,Temporary shutdown of Themba Water Treatment Plant leads to an interruption in the supply zone – 27 June 2025,to ensure continued access to clean water,TBD,TBD,https://www.tshwane.gov.za/?p=89464,"The City of Tshwane regrets to inform customers residing in Themba and surrounding areas about a temporary water supply interruption following the shutdown of Themba Water Treatment Plant. This decision was taken as a necessary precaution to protect public health due to water quality challenges currently experienced at the plant. The challenges stem from a sewer discharge that has been detected flowing into the Apies River, which feeds into the Leeukraal Dam – the primary water source for Themba"
89182,2025-06-23T09:59:42,confirmed,water,rescheduled,Rescheduled water supply interruption in the Eersterust Reservoir supply area 22 June 2025,"Derdepoort 326-JR Derdepoort Park Ext 2 Despatch Eersterust Eersterust Ext 2, 3, 4, 5 and 6 Hartebeespoort 328-JR Jan Niemand Park Mamelodi Ext 13 Silvertondale Silvertondale Ext 1 and 2 Waltloo The City will try to minimise the impact of the water supply interruption",TBD,TBD,https://www.tshwane.gov.za/?p=89182,"Residents in the Eersterust Reservoir supply area are informed about the rescheduled upgrading work on the bulk water system which will take place on 25 and 26 June 2025 . The work to be carried out by the technical team entails making repairs on a leaking pressure-reducing valve (PRV) chamber, replacing the aged pipeline and installing an altitude valve to regulate water levels and flow to the reservoir. The upgrading work was initially scheduled to take place on 6 and 7 May 2025, but it was th"
88887,2025-06-12T10:50:10,confirmed,unclear,unclassified,Temporary closure of N4 Highway for critical transmission line construction – 11 June 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88887,"Motorists are notified of a temporary closure of the N4 Highway between the Simon Vermooten and Solomon Mahlangu interchanges, east of Tshwane, on Sunday, 15 June 2025, to allow for critical infrastructure work. This is a collaborative activity between the City of Tshwane Energy and Electricity Department, the South African National Roads Agency (SANRAL) and the Tshwane Metro Police Department (TMPD). The closure is essential to facilitate the safe stringing of high-voltage conductors as part of"
88787,2025-06-09T14:49:59,confirmed,water,planned_maintenance,Water supply interruption to affect Saulsville and Atteridgeville Ext 17 and 18 – 6 June 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88787,"On Wednesday, 11 June 2025, the City’s team of technicians will effect upgrading work on a 75 uPVC pipeline connecting from the tee along Masopha and Hlakola Street to Maseremule Street in Atteridgeville. The said pipeline will be upgraded to a 200 uPVC line, which is 56 m in length. This will take eight hours, from 08:00 until 16:00, to complete. Meanwhile, on Wednesday, 18 June 2025, the City will install a 150 mm PVR pipe and fittings at Atteridgeville Taxi Rank at the corner Maunde and Schur"
88743,2025-06-09T14:26:01,confirmed,water,planned_maintenance,Water supply interruption to affect Queenswood 6 June 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88743,"On Thursday, 12 June 2025, the City of Tshwane will carry out the scheduled installation of a PRV pipe and pipe fittings at Dormer Avenue between Wesley Road and Eva Avenue in Queenswood. On this day, the water supply will be affected for eight hours, from 08:00 until 16:00, in the following areas: Koedoespoort Môregloed Queenswood Queenswood Ext 2 Rietfontein Villieria The City apologises for any inconvenience that may arise during this interruption period, however, this upgrade is anticipated "
88528,2025-06-03T15:07:16,confirmed,unclear,planned_maintenance,Rand Water completes maintenance work at its Mapleton System which supplies water to parts of Tshwane 2 June 2025,. The City is pleased to inform the affected customers that the water utility started with pumping at the Mapleton System early this morning,TBD,TBD,https://www.tshwane.gov.za/?p=88528,"Rand Water has confirmed that its team of technicians has completed the four days of maintenance work, which started last week Thursday, at the Mapleton Booster Pumping Station. The water utility stopped pumping from the Mapleton System for the duration of the work, leaving various areas in Region 6 and some parts of Regions 2 and 3 without water, compelling the City to dispatch water tankers to the affected areas. The City is pleased to inform the affected customers that the water utility start"
88386,2025-05-30T09:18:56,confirmed,unclear,unclassified,Themba Water Treatment Plant temporarily shut down 29 May 2025,with water,TBD,TBD,https://www.tshwane.gov.za/?p=88386,"The City of Tshwane wishes to inform residents and stakeholders of the temporary shutdown of Themba Water Treatment Plant today, 29 May 2025, due to a critical failure in the communication cables that connect the chlorine dosing system, actuators and vacuum regulators. This system, which is housed inside the plant, doses chlorine during the water treatment process. A treatment plant cannot run without chlorine, and the City was therefore compelled to temporarily shut down operations. Earlier tod"
88246,2025-05-28T11:21:51,confirmed,electricity,unclassified,Zwartkop Substation fully operational -28 May 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88246,"Power has been restored to all the areas that are supplied by Zwartkop Substation following a gruelling eight-day repair process. The City’s energy and electricity technicians had to work around the clock through a strenuous cable installation and connection process. After completing this process, the team had to deal with the daunting task of modifying the cable end box, which serves as a connector between the cables and the main transformer at the substation. The modification process was compo"
88121,2025-05-27T15:40:51,confirmed,electricity,unclassified,Update! Power trip affecting Wolmer 132/11 kV Substation-27 May 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88121,"The City of Tshwane is delighted to report that the electricity supply has been restored to 80% of the customers that are serviced by Wolmer 132/11 kV Substation. The said substation tripped yesterday, 26 May 2025, following an explosion on Panel A1, resulting in a widespread power outage to the supply zones. The following areas have been swiftly restored: Dorandia Eldorette Heatherdale Heatherview Hesteapark Klerksoord (industrial and residential) Ninapark Theresapark Wolmer Currently, customer"
88101,2025-05-27T15:25:03,confirmed,unclear,unplanned_failure,Progress on Willow Road leakage near Unisa – 27 May 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88101,The City of Tshwane is pleased to announce that the repairs to the damaged water pipeline at Willow Road near Unisa in Sunnyside have been completed. The team has now begun to pump water into the pipeline as part of the gradual restoration process. Customers are urged to exercise patience during the pumping period as the network takes time to fully recover. The City is pleading with residents in the low-lying areas to use water sparingly when the supply is restored to allow the system to reach a
88057,2025-05-27T15:10:37,confirmed,electricity,unclassified,Zwartkop Substation restoration progress – 27 May 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88057,"The City of Tshwane’s team of energy and electricity technicians is at the final stage of repairs to Zwartkop Substation, which was damaged by fire last week Tuesday, 20 May 2025. The team has finally managed to connect the cable end box to the main transformer following a lengthy and gruelling installation process. The testing team has now successfully completed 95% of the required tests before the switching team can energise the substation. The only remaining test the team is currently working"
88044,2025-05-27T14:49:29,confirmed,unclear,unplanned_failure,Progress update on the leakage near Unisa – 26 May 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=88044,"The City’s team of plumbers, which was dispatched to Willow Road in Sunnyside earlier today following the detection of a leakage, is currently trenching to expose the 400 mm HDPE pipe. The team had to first close and isolate the 375 mm steel pipe chamber next to Unisa before pumping water out from the chamber to enable them to assess the leakage. It is suspected that the valve was damaged during the repair process of the 1 000 mm HDPE pipe, which is a feeder to the damaged pipeline. Once trenchi"
87984,2025-05-26T12:58:28,confirmed,electricity,unclassified,Latest update! Zwartkop Substation repair progress,,TBD,TBD,https://www.tshwane.gov.za/?p=87984,"The City of Tshwane is pleased to announce that the cable end box, which was the only missing component towards energising Zwartkop Substation, has arrived on-site. The cable end box, which serves as a connector between the cables and the main transformer at the substation, had to undergo comprehensive modifications after suffering extensive damages during the fire incident at Zwartkop Substation. This is a meticulous process, given the age of the transformer (1972). The City’s team of technicia"
